stock_code,trade_date,close,volume,turnover_rate,market_value,pe_ttm,pb,roe
000831,2025-10-09,56.878,104485772,0.09846,60394076126.37,494.50605,10.971075,-0.057238
000831,2025-10-10,54.639,85946290,0.08099,58016941518.69,494.50605,10.971075,-0.057238
000831,2025-10-13,60.106,116924284,0.11018,63821819332.98,494.50605,10.971075,-0.057238
000831,2025-10-14,61.355,129561128,0.12209,65148345341.73,494.50605,10.971075,-0.057238
000831,2025-10-15,59.416,100659646,0.09485,63089576976.15,494.50605,10.971075,-0.057238
000831,2025-10-16,57.098,66347277,0.06252,60627544703.91,494.50605,10.971075,-0.057238
000831,2025-10-17,56.168,56450009,0.05319,59640609353.4,494.50605,10.971075,-0.057238
000831,2025-10-20,55.049,50792071,0.04786,58452042049.56,494.50605,10.971075,-0.057238
000831,2025-10-21,55.828,46852872,0.04415,59279794279.02,494.50605,10.971075,-0.057238
000831,2025-10-22,54.629,39247665,0.03698,58006329310.62,494.50605,10.971075,-0.057238
000831,2025-10-23,53.51,32514500,0.03064,56817762006.78,494.50605,10.971075,-0.057238
000831,2025-10-24,54.729,39691544,0.0374,58112451391.32,494.50605,10.971075,-0.057238
000831,2025-10-27,55.888,56267862,0.05302,59343467527.44,494.50605,10.971075,-0.057238
000831,2025-10-28,53.75,44517612,0.04195,57072455000.46,494.50605,10.971075,-0.057238
000831,2025-10-29,54.899,35907501,0.03384,58292858928.51,494.50605,10.971075,-0.057238
000831,2025-10-30,55.489,81654403,0.07694,58918979204.64,494.50605,10.971075,-0.057238
000831,2025-10-31,52.67,52176553,0.04917,55926336528.9,494.50605,10.971075,-0.057238
000831,2025-11-03,49.912,52811534,0.04976,52997367101.58,494.50605,10.971075,-0.057238
000831,2025-11-04,49.372,27099492,0.02554,52424307865.8,494.50605,10.971075,-0.057238
000831,2025-11-05,48.543,37429214,0.03527,51543494595.99,494.50605,10.971075,-0.057238
000831,2025-11-06,48.742,29841410,0.02812,51755738757.39,494.50605,10.971075,-0.057238
000831,2025-11-07,49.082,32723704,0.03084,52116553831.77,494.50605,10.971075,-0.057238
000831,2025-11-10,48.742,23889581,0.02251,51755738757.39,494.50605,10.971075,-0.057238
000831,2025-11-11,47.753,24773708,0.02334,50705130158.46,494.50605,10.971075,-0.057238
000831,2025-11-12,46.534,31302081,0.0295,49410440773.92,494.50605,10.971075,-0.057238
000831,2025-11-13,47.373,34773262,0.03277,50301866251.8,494.50605,10.971075,-0.057238
000831,2025-11-14,47.113,25359892,0.0239,50025948841.98,494.50605,10.971075,-0.057238
000831,2025-11-17,48.013,28132649,0.02651,50981047568.28,494.50605,10.971075,-0.057238
000831,2025-11-18,46.864,22924609,0.0216,49760643640.23,494.50605,10.971075,-0.057238
000831,2025-11-19,48.233,36963044,0.03483,51214516145.82,494.50605,10.971075,-0.057238
000831,2025-11-20,49.022,51281521,0.04832,52052880583.35,494.50605,10.971075,-0.057238
000831,2025-11-21,46.514,35661878,0.0336,49389216357.78,494.50605,10.971075,-0.057238
000831,2025-11-24,47.053,31973655,0.03013,49962275593.56,494.50605,10.971075,-0.057238
000831,2025-11-25,47.103,26741393,0.0252,50015336633.91,494.50605,10.971075,-0.057238
000831,2025-11-26,46.354,21704868,0.02045,49219421028.66,494.50605,10.971075,-0.057238
000831,2025-11-27,45.994,22072519,0.0208,48837381538.14,494.50605,10.971075,-0.057238
000831,2025-11-28,46.784,24850367,0.02342,49675745975.67,494.50605,10.971075,-0.057238
000831,2025-12-01,48.223,39118564,0.03686,51203903937.75,494.50605,10.971075,-0.057238
